	comentario_texto	toxic
14591	e ¿Cómo diablos es ese vandalismo? Qué gran exageración. Está en la página de discusión para mejorar el artículo, Andy.	1
21862	Nombre de Muktharan Mai Muktharan Mai también se llama Sameera Reddy? ¿Qué pasa?	0
76798	: Una vez más, estas advertencias y sus autores parecen nefastos para alguien que sabe que la dirección IP 212.100.250.218 se refiere a dos o más editores totalmente desconectados.	0
57689	Tu conversión repentina ... ¡Buen día! ! Bienvenido al lado de la luz ... Ħ	0
58423	Mismo tema, otra solicitud de prohibición == Ver especial: Contribuciones / GarGarOtts. Gracias. -Libertad ==	0
60712	No hay necesidad de ataques personales. Fennessy es conocido por la guerra de edición disruptiva y no debería atacar a otros usuarios por no estar de acuerdo con él.	0
91119	¿Por qué no hay artículos en otros idiomas? El interwiki italiano parece estar equivocado.	0
62149	No tengo ni idea. ¿Estamos? ¿No es esta una página de desambiguación / descripción general amplia de un editor? 3 de julio de 2005 22:05 (UTC)	0
47277	no soy neva firmo mi mierda porque soy genial, sigue firmándolo por mi perra ...	1
72901	'Los empacadores apestan Los patriotas son los mejores Texto en negrita' Texto en negrita	1
40100	== Wikipedia sindhi == Assalam Alaikum Ali Raza, ¿Puedes trabajar en [sd.wikipedia.org Wikipedia sindhi]?	0
46521	(¿Existe un estudio específico que respalde los trastornos alimentarios con el veganismo o simplemente te lo estás quitando de encima?)	1
21752	No dude en comentar sobre mi revisión de la parte 1 de la sección de historia aquí.	0
5820	;Hola. Disparates. -	0
54133	}} {{dyk | 19 de noviembre | 2004 | que los globos de diálogo se utilizan en los cómics y las tiras para permitir que el lector vea las palabras y los pensamientos de los personajes? | num = 19	0
35943	: Hubo una solicitud F6 rápida y ninguna página la vinculó. Libre de reinstalación si cree que es una redirección necesaria. '' '	0
93404	""". Pero esto fue: """"Puede encontrarse bloqueado durante las próximas 24 horas"""" (por bloquear sysop), y esto fue: """"rv BS anon"""" (del usuario que se quejó de la falta de civismo)"""	0
46931	Daño por impacto Eliminé esta sección debido a que no es canon. El jack-assery termina aquí. PD. Volví.	0
37030	Lámeme, ¿estás caliente?	0
91936	Lo sé, pero solo quiero un artículo para TODO. Espero que entiendas.	0
23725	Charla REDIRECT: submarino griego Papanikolis (Y-2)	0
62894	**** Gracias a y. '' '' ''	0
17193	: ¿A alguien le importan las fechas de acceso? Todavía parezco ser el único. Actualice la fecha de acceso cuando actualice el bruto diario.	0
9270	Huntsman ha anunciado su dimisión, pero seguirá siendo el actual embajador en China hasta el 30 de abril.	0
89333	Bien, trabajaré para encontrar algunas fuentes que involucren a activistas que se involucren en esos temas.	0
84440	esto es, por supuesto, una total pérdida de tiempo, ya que la mayoría de las personas no tienen idea de dónde está Polonia en un mapa o si existe, así que vete a la mierda y que tengas un buen día ... gilipollas	1
12818	Aquí mismo, en esta sección. Gracias.	0
1038	Admite el formato de nomenclatura estándar para las temporadas de la liga. 57	0
61946	: Entendido, asumí que el cambio para eliminar solo estaba enfurruñado por su parte.	0
88694	, 2 de enero de 2009 (UTC) :::::: Nuevamente, los enumeraría como tipos únicos. Ciertamente, haría eso para las escuelas especiales, para las escuelas preparatorias, es posible que desee enumerarlas como independientes. 14:42	0
57520	al apartado de legalidad. salud	0
23928	Estuve ocupado con Trichy todos estos días. Tengo un interés especial por la película y estaré encantado de ayudarte. - (Hazme ping)	0
20115	بدي حط ايري بطيز أمريكية	0
23714	sus opiniones. Usuario StaticVapor, por favor déjelo	0
72143	, 3 de abril de 2010 (UTC) :::::: Ver: hoy. 09:46	0
88084	Charla REDIRECT: Lista de áreas de especial interés científico en el condado de Antrim	0
12889	: Trabajaba para Tropical Airways y me proporcionaron un conductor privado. db (EST)	0
66812	¡Jimmy D'Allessio no puede luchar por su VIDA! Heces	1
55512	== aby == Concerniente a la edición ABY Esta edición fue constructiva ya que también agregué una página sobre el sitio web, por lo tanto, debe agregarse en la página de desambiguación. No es vandalismo	0
77835	"""Entonces no has mirado lo suficiente. Entre la resistencia a los hechizos y sus modificadores de la tirada de salvación está su alineación, aparece como """"CG"""", es decir, bueno caótico."""	0
8884	*: Ejército Popular de Polonia →	0
49715	Le he quitado el bloqueo injustificado. Espero que lo que se lleve de este incidente sea una buena risa. Contempla el resumen de edición autocumplido. ) / ɹəədsɹ	0
39559	¡Ortografía! ¡Gracias por el consejo! fue appriciated.	0
65340	Claramente, no comprendes qué es realmente el vandalismo. Sugerencia: lea la política.	0
17560	:¡Yo también!	0
11016	"""Salarios mensuales La sección """"Orígenes"""" implica que un trabajador agrícola gana 1 rupia por mes, mientras que """"Personal"""" dice 3 ...?"""	0
43980	tiene alguna sugerencia, debería preguntarle a Alexis Lefaivre.	0
34955	Me gusta saber cuál es mi posición cuando alguien hace una acusación falsa en mi contra. '' 'Dick Laurent está muerto	0
59668	Especulación sobre suposición sobre intuición. Según WP: TPG, este no es el lugar para discutir los méritos de ninguna hipótesis, solo para discutir los cambios en el artículo.	0
32037	Excepto que mi oración solo dice que se han hecho comparaciones, no que Cook estuviera robando material. Y MI declaración se obtuvo en su totalidad y pude encontrar cientos más. ► '' '¡Holla!	0
70569	Cambio menor La línea (http://en.wikipedia.org/w/index.php?title=Children_in_Need&diff;=171994422&oldid;=171993766) era bastante insignificante	0
36308	alex cisse usein por qué borraste la página que st.pid twunt	0
58454	John Hamlett - maricón	1
39932	Soy un novato, ni siquiera sé escribir en esta cosa. por favor déjame un poco de holgura.	0
39701	El hecho de que uno sea gay no significa que no esté dispuesto a reproducirse. Quiero tener dos hijos propios, de un sustituto. 16:47, 23 de julio de 2004 (UTC)	0
9837	Ya le han sacado informes de Ani contra sus acciones, por favor no me obligue a presentar otro en su contra. Se requiere competencia, quizás debería leerlo.	0
97095	Octubre de 2009 (UTC) ::::: De acuerdo, todo lo demás parece estar bien. Supongo que es pasable. 03:20, 27	0
896	: 2. ¿Cómo se convirtió esto en un DYK? está discutiendo la nominación DYK de los ganadores de la Lista de King of the Ring.	0
78895	nota al pie y dentro del alcance de WikiProject Australia	0
25489	- Comentario anterior sin firmar agregado por • 05:27, 24 de junio de 2014: Ver WP: UKNATIONALS. Y, la próxima vez, firme sus publicaciones usando cuatro de estos: ~ Diolch yn fawr.	0
78832	Contribución de spam	0
29361	Se ha eliminado la eliminación rápida. También agregaré algunas fuentes más.	0
84247	* Comisión de Revisión Económica y de Seguridad de EE. UU. Y China * Departamento de Agricultura de EE. UU. - Servicio de Investigación Económica (datos de China)	0
79072	¡AQUÍ VAMOS DE NUEVO! Otra persona no tan conocida que ahora es famosa porque les pasó algo malo que les pasa todos los días a miles de personas. Esta página debería eliminarse. 214.13.192.187	0
14454	Le pedí a ANI que se retiraran. Brutaldeluxe, estoy seguro de que fue solo un error, pero preste un poco más de atención en el futuro, especialmente con esas herramientas automatizadas.	0
48142	Tenga en cuenta que he solicitado más ayuda a la Mesa de ayuda: Wikipedia: Mesa de ayuda # Usuario: 182.225.181.183.27s ediciones recientes.	0
21732	Por favor, absténgase de agregar tonterías a Wikipedia, como lo hizo con Economía planificada. Se considera vandalismo. Si desea experimentar, use la caja de arena.	0
8918	Fotos El sitio web oficial de Southwestern tiene muchas fotos que se proporcionan a los medios de comunicación. ¿Significa esto que las fotos son de código abierto y se pueden publicar en el sitio de Wikipedia?	0
38407	Probablemente se hayan eliminado los datos de 4 o 5 artículos por una cara	0
15750	a menudo causando una gran cantidad de destrucción, caos y desorden	0
96328	Deja de dejar mensajes estúpidos sin sentido en mi página de charlas Si quieres dejar mensajes estúpidos a la gente, ve a tu caja de arena. crecer.	1
6599	, 10 de agosto de 2010 (UTC) No, son un renacimiento de una antigua franquicia. Gran diferencia. 20:02	0
81676	ANTANDRUS LA PRINCIPAL RAZÓN DETRÁS DE LOS BLOQUES ES CREAR PROBLEMAS. ANTANDRUS ES WIKIHÓLICO, SI NO REVIERTE ALGO DENTRO DE 12 HORAS NO SE SENTIRÁ BIEN.	0
35622	Sin referencias en absoluto Este artículo completo debe eliminarse debido a su falta de referencias, elección incorrecta de palabras y claro sesgo.	0
34302	El pasaje se eliminó nuevamente en una reversión que creo que podría haber sido un error, por lo que continúo editando las tres oraciones anteriores en el ínterin.	0
6731	Lo siento Lo siento por la advertencia y la reversión. Fui a revertir el vandalismo; me ganaste y, por alguna razón, iglú accidentalmente revirtió tu edición en su lugar. Nuevamente, lo siento mucho. [hablar]	0
41648	Por favor, no destroces las páginas, como hiciste con esta edición de Whitney Lakin. Si continúa haciéndolo, se le bloqueará la edición.	0
7430	Sí, parece que a Oldlady le gusta criticar las ediciones de las personas sin mérito. 216.248.27.2	0
88466	wow wow, él mola.	0
10600	Bendice los pecados y 3RR Buen punto Usuario: C.Logan. Es tan POV describir el camino como fallido. Desde el punto de vista de los pobres chicos acusados falsamente fue un camino de lo más exitoso.	0
91208	ya que hasta ahora no han encontrado otros métodos que les funcionen	0
44181	"""Si no se menciona nada, entran en la categoría de """"Estados sin posición informada en la actualidad"""". Entonces deberíamos esperar hasta que expresen sus opiniones sobre Kosovo."""	0
23213	: Avast, temido pirata Husond. ¡Limpia las cubiertas, canalla! ~	0
51984	== LINUX ES PARA VIRGENES == ¡HA SIDO PROPIEDAD! GRATIS FRAGMASTER	0
8091	::::: La plantilla {{convert}} - no convierte correctamente de km / ha mph, sin embargo cambié las velocidades de los trenes que no son de EE. UU. A su unidad habitual, borrando así el problema mencionado anteriormente.	0
64461	Muchas gracias por ocuparme de esto, se lo agradezco mucho. )	0
33322	Estoy de acuerdo y lo he hecho.	0
25788	Está bien ... pero ahora estoy triste. sin súper piano. pero está bien.	0
4335	:: ¡Ja! Bien, lo siento, mi ceguera numérica vuelve a aparecer ...	0
41681	""": No se puede simplemente decir """"eso es una mierda"""" y eliminarlo sin lograr un consenso. Ya lo sabes, según tu historial de bloqueos. - /"""	0
90105	No estaba en el programa principal Most Haunted, sino en el spin-off, Midsummer Murders. Se emitió en algún momento de este año en Living, creo que alrededor de mayo / junio.	0
42794	== Panzer maiden == La BBC me ha robado mi comparación de Tank Girl con Mad Max. ¡Ladrones! Espero que te mantengas fuerte y te las arregles bien. Salud, -	0
89524	Selección Nacional de fútbol de México Gracias, no supe cómo arreglarlo	0
92636	"""::::::::: Debe ser así. Sin embargo, no entiendo """"31 géneros"""". Bickham pp81-82 los enumera bastante bien, pero no los veo en la nueva fuente."""	0
38473	"""Los torrents no están limitados a 50GB, como dice el artículo """"tan grandes como 50GB"""" (más o menos), hay torrents que son de 200GB + 24.129.237.34"""	0
61216	"""No soy yo quien tiene que defender un POV. Usted ha asumido esa tarea, así que díganos cuáles son sus fuentes para esta afirmación de """"tendencias históricas""""."""	0
72288	Me importa una mierda maricón, vete a la mierda.	1
16968	Cary Grant ¿De qué estás hablando? cary grant es INGLÉS y es JUDÍO, así que no, no lo busqué en Internet sobre la religión y la nacionalidad de carey grant.	0
94937	Hola D. Maass. Desafortunadamente, eliminé el artículo por falta de notoriedad. ¿Crees que esto es un error de mi parte? ¡Se me conoce por hacerlos! ) 17	0
50741	El enlace que proporcionó a su página web es ciertamente interesante>}	0
70076	¡Ah! Estoy demasiado cansado para perseguir a Scibaby por ahora. Ok, bueno, no me voy a quejar más. Fue una llamada WP: IOR razonable, supongo. hablar	0
3133	Mal, soy neoconservador y odio a todos los países árabes, especialmente a Arabia Saudita e Irak. Vea el antisemitismo en el mundo árabe. Por eso odio a los árabes.	1
90683	Además: BPM no debe fusionarse con Tempo. Uno es específicamente sobre música, el otro se refiere tanto al tempo como a los latidos del corazón. Una correlación muy interesante.	0
94914	:: Encontrada nueva foto gratis, espero que esta sea mejor.	0
58390	Mi sugerencia sería leer tres o cuatro de los trabajos más recientes sobre Bacon de académicos universitarios; si no mencionan esto, elimine las afirmaciones por completo.	0
81885	la lista principal, de alguna manera.	0
68585	¿Qué diablos es el punto de 3RR? Espera, no importa. NO HAY NINGUNO. AHORA DEJA DE ACTUAR COMO UN IDIOTA. -	1
73115	== Imagen == Deje de eliminar la imagen, está bien para fines ilustrativos. O al menos dar una razón con la política para eliminarlo.	0
23545	El hecho de que su última solicitud de eliminación de un artículo mío haya sido rechazada demuestra que no está siendo imparcial aquí. Ve a buscar algo más que hacer.	0
7502	Waaaah. Vuelve a gatear a tu agujero, chico.	1
89989	== vip == cok cok cok muhım abder	0
92461	bien, él sí escribió un libro que hace esas afirmaciones. Entonces, ¿cómo lo escribo para que la gente como tú no lo edite?	0
69900	¡USTEDES SON IDIOTAS! USTED BASA SU INFORMACIÓN EN OPINIÓN EN LUGAR DE HECHO. ¡MUJERES!	1
61294	Tenga cuidado de no eliminar contenido de Wikipedia sin una razón válida, que debe especificar en el resumen de la edición o en la página de discusión del artículo. Gracias. Hablar	0
79064	, al agregar una nueva sección	0
35729	Entonces, ¿qué eliges, eliminar esta oración o cambiar el nombre del artículo?	0
44971	Hola, de nuevo, se menciona Teradata, ¿por qué está bien? El artículo se limpió antes de publicar el mensaje anterior. (hablar)	0
9093	Difícilmente. Kevin Barry fue un terrorista cobarde vestido de civil que asesinó a tres jóvenes. Dado que los hombres que asesinó eran tan jóvenes como él, esto debe mencionarse. )	0
63148	Gracias por escribir Abecedare.	0
3958	Me han dicho que Atracción local es otro término para la desviación magnética tan feliz de redirigir. ¿Algún otro pensamiento? vamos a discutirlo	0
32875	"""**** ¿Hay algo mejor para eliminar la ambigüedad del significado de """"escenificado""""?"""	0
55491	He añadido esto al artículo.	0
74994	Dab, si eso es lo que se necesita para resolver el problema aquí, estoy totalmente de acuerdo. El arbitraje quizás sea la única vía aquí.	0
5924	Han cerrado el hilo.	0
90166	Nicholas Bartley De manera similar, he eliminado a Nichalas Bartley de la página de desambiguación Bartley. A menos que sea lo suficientemente notable como para tener su propio artículo en Wikipedia, no debería ser mencionado allí.	0
87608	Imagen de Gallowglass Noté que colocó una plantilla de solicitud en Talk: Gallowglass hace un tiempo. Creo que encontré la imagen, solo para avisarte. Sin embargo, no sé si Durero hizo otros.	0
15109	"""Gracias por tu opinión sobre Estados Unidos. En el futuro se archivará con el resto de las opiniones canadienses en el archivo """"No nos importa una mierda lo que pienses"""". Gracias"""	0
56108	Nikhil trikha La información de este artículo que creó, que supongo que es sobre usted, debe estar en su página de usuario, no en el espacio del artículo. Gracias. - '' 'Los cuarenta y cinco	0
38425	BetacommandBot | BetacommandBot]] 07:00, 13 de septiembre de 2007	0
6009	== Sid Vicious == Creo que será útil para el artículo si alguien puede agregar información sobre la lesión en la pierna del luchador Sid Vicious.	0
99163	Baseball Bugs es una maldita herramienta. ¿Supongo que son amigos de él?	1
16255	"""sif borra esto! lara bingle lo tiene en marcha. omg canada """"ooh 'te compramos una cerveza' promueve el consumo de alcohol sí ..."""", imbéciles."""	1
52263	dejarme embarazada de nuevo ''.	0
85387	Ciertamente eso es mejor.	0
48060	Qué importancia tiene la persona Sakine Cansız que está en la página principal de noticias durante casi dos semanas. Por favor, proteja a Wikipedia de ser un lado político. Gracias.212.156.67.30	0
85803	Artículos de Bălţi ¿Puede dar una opinión sobre el uso del nombre oficial de Bălţi?	0
18122	¿La empresa más grande de Austria-Hungría? Fue el más grande hasta 1912. Pero a partir de 1912, el húngaro Ganz tenía un presupuesto mayor que el de Skoda.	0
91087	Estoy de acuerdo. Añadida etiqueta de combinación.	0
3622	Joder, no Samuel Johnson. ¿Tienes idea de lo ridículo, patético y estúpido que eres? 184.170.131.16	1
12332	Eliminación impugnada Esta página no es claramente promocional, porque ... (su razón aquí) Esta es solo una página informativa que describe cómo se fundó la empresa y qué hace.	0
24831	Una vez más, ¡TE PERDONO ~! ♠ ♣ ♥ ♦ ™ №1185 © ♪ ♫ ®	0
36912	¡Una RFA gracias! Gracias por apoyar mi reciente y exitosa nominación, y si alguna vez necesita mi ayuda, ¡no dude en dejar un mensaje en mi página de discusión! -) (hablar)	0
